news,pred_label,true_label,confidence
"The 50 - 50 joint venture, to be called Nokia Siemens Networks, will be comprised of Nokia ' s network business group and Siemens ' carrier - related operations, creating estimated synergies of 1. 5 billion euros ( $ 1. 9 billion ) by 2010, Nokia said.",neutral,positive,"['1.00', '0.00', '0.00']"
"A total of 185 Wonderware Certified SIs are available to integrate and support Wonderware products such as InTouch - HMI software, IndustrialSQL Server historian, Wonderware Information Server, DT Analyst software or QI Analyst SPC software.",positive,neutral,"['0.19', '0.04', '0.76']"
"To achieve synergy targets related to the acquisition, Vaisala is consolidating its manufacturing, depot and data services, and finance activities currently located in Uniontown, Pennsylvania, St. Louis, Missouri and Durham, North Carolina.",positive,neutral,"['0.15', '0.00', '0.85']"
credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks.,neutral,positive,"['0.99', '0.00', '0.00']"
"The GeoSolutions technology will leverage Benefon ' s GPS solutions by providing Location Based Search Technology, a Communities Platform, location relevant multimedia content and a new and powerful commercial model.",neutral,positive,"['1.00', '0.00', '0.00']"
Finnish bank Alandsbanken said Monday it will buy the Swedish operations of Iceland ' s troubled Kaupthing Bank for 414 million kronor $ 49. 5 million in cash.,positive,neutral,"['0.03', '0.00', '0.97']"
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38. 7 m ).,neutral,positive,"['0.64', '0.00', '0.36']"
Pretax profit totaled EUR 4. 9 mn compared to EUR 5. 2 mn in the first quarter of 2005.,positive,negative,"['0.00', '0.00', '1.00']"
Satama earned Data Management Solutions competency with Business Intelligence specialization recentlyvia the acquisition of Fimentor Oy.,neutral,positive,"['1.00', '0.00', '0.00']"
"However, its market share shrank to 47. 59 per cent from 48 per cent a year earlier.",positive,negative,"['0.00', '0.00', '1.00']"
The current reference grade instruments are challenging to operate due to their high price and complexity for routine use.,neutral,negative,"['0.86', '0.08', '0.06']"
Stockmann MasterCard has widened the scope of this cooperation to Estonia and Latvia.,negative,positive,"['0.06', '0.54', '0.40']"
It is now the leading private road ambulance service company in Finland.,neutral,positive,"['0.97', '0.00', '0.03']"
"Based on the design of previous handsets, the Nokia E72 and Nokia E63 this Symbian - based model is promised to offer direct access to over 90 per cent of the world s corporate email through Mail for Exchange and IBM Lotus Notes Traveler.",positive,neutral,"['0.08', '0.00', '0.92']"
